EntryID,NameID,Timestamp,WhatGenreOfMusicMostAccuratelyDescribesThisArtistProject,ReleaseDate,StreamsLast28Days,ListenersLast28Days,SavesLast28Days,PlaylistAddsLast28Days,StreamsLast7Days,ListenersLast7Days,SavesLast7Days,PlaylistAddsLast7Days,StreamsAllTime,RadioStreamsLast28Days,DiscoverWeeklyStreamsLast28Days,ReleaseRadarStreamsLast28Days,RadioStreamsLast7Days,DiscoverWeeklyStreamsLast7Days,ReleaseRadarStreamsLast7Days,CurrentSpotifyFollowers,PopularityIndex,WhatIsTheDominantWayThisArtistHasPromotedThisSong,ReleaseConsistency,HowManySongsDoYouHaveInRadioRightNow,HowManySongsHasThisArtistEverReleased,AreYouIndependentOrSignedToALabel,IsThisSongOptedIntoSpotifyDiscoveryMode,ReleaseConsistencyNum,DaysSinceRelease,WeeksSinceRelease,NewRelease,PI_Category,PI_Category_2,ListenersStreamRatio28Days,ListenersStreamRatio7Days,AlgoStreams28Days,AlgoStreams7Days,NonAlgoStreams28Days,NonAlgoStreams7Days,ListenersStreamRatio28Days_adj,ListenersStreamRatio7Days_adj,SavesLast28Days_adj,PlaylistAddsLast28Days_adj,ReleasePhaseEarly
EID021,NID021,2025-03-21T20:29:49.363Z,Rock,2022-11-18T00:00:00Z,3106,1588,183.0,138.0,705.0,441,38.0,36.0,144536.0,398.0,0.0,0.0,87.0,0.0,0.0,7519,20,Facebook / Meta Ads,Over 12 weeks,10.0,10,Independent,,14.0,854,123,no,20-21,16-20,1.955919395466,1.59863945578231,398.0,87.0,2708.0,618.0,2.112578012482,1.65206662553979,171.59,127.68,False
EID022,NID022,2025-03-21T20:32:50.929Z,EDM / Electronic,2024-01-26T00:00:00Z,24820,11419,50.0,295.0,7128.0,4792,16.0,100.0,335637.0,13554.0,174.0,0.0,3837.0,13.0,0.0,511,36,Facebook / Meta Ads,3-4 weeks,28.0,35,Independent,,3.5,420,61,no,36-40,31-40,2.17357036518084,1.48747913188648,13728.0,3850.0,11092.0,3278.0,12.9126891734575,1.79080517734073,-343.57,-60.85,False
EID023,NID023,2025-03-21T20:34:57.917Z,EDM / Electronic,2025-02-21T00:00:00Z,171120,97678,595.0,3851.0,33262.0,24355,101.0,848.0,171143.0,6911.0,99.0,12.0,718.0,5.0,0.0,47,47,3rd Party Playlisting,3-4 weeks,3.0,3,Signed to a label,,3.5,28,5,yes,46-50,41-100,1.7518786215934,1.36571545883802,7022.0,723.0,164098.0,32539.0,1.77833000165056,1.36725115955848,393.68,3668.98,True
EID024,NID024,2025-03-21T20:37:06.156Z,EDM / Electronic,2024-03-22T00:00:00Z,49232,22607,76.0,456.0,11359.0,7619,18.0,117.0,654265.0,25011.0,416.0,0.0,5631.0,49.0,0.0,325,40,Facebook / Meta Ads,3-4 weeks,17.0,25,Independent,,3.5,364,53,no,36-40,31-40,2.17773256071128,1.49087806798793,25427.0,5680.0,23805.0,5679.0,7.81063072613008,1.74750869884252,-652.97,-203.1,False
EID025,NID025,2025-03-21T20:39:44.161Z,EDM / Electronic,2024-05-03T00:00:00Z,36931,17589,62.0,322.0,11188.0,7752,20.0,104.0,268322.0,25154.0,547.0,0.0,8038.0,118.0,0.0,15311,38,Facebook / Meta Ads,7-8 weeks,13.0,153,Independent,,7.5,322,47,no,36-40,31-40,2.0996645630792,1.44324045407637,25701.0,8156.0,11230.0,3032.0,1.0,2.05120732722731,-674.83,-344.2,False
EID026,NID026,2025-03-21T20:42:05.825Z,EDM / Electronic,2022-05-27T00:00:00Z,547013,297956,2642.0,6446.0,122890.0,91451,558.0,1487.0,26992611.0,218168.0,171.0,0.0,49687.0,38.0,0.0,18143,58,3rd Party Playlisting,7-8 weeks,32.0,41,Signed to a label,,7.5,1029,148,no,51-100,41-100,1.83588516425244,1.34377972903522,218339.0,49725.0,328674.0,73165.0,2.52820469125546,1.37525610420857,-3617.63,786.4,False
EID027,NID027,2025-03-21T20:46:08.864Z,EDM / Electronic,2024-02-09T00:00:00Z,44499,21137,92.0,743.0,10805.0,6639,31.0,254.0,852184.0,18788.0,1267.0,0.0,3370.0,1222.0,0.0,713,41,Facebook / Meta Ads,3-4 weeks,26.0,41,Independent,,3.5,406,59,no,41-45,41-100,2.10526564791598,1.62750414219009,20055.0,4592.0,24444.0,6213.0,4.28085301289219,1.99987619778642,-482.96,223.15,False
EID028,NID028,2025-03-21T20:49:06.347Z,EDM / Electronic,2020-11-06T00:00:00Z,73311,39768,494.0,988.0,20013.0,14227,141.0,297.0,9875377.0,26643.0,2281.0,0.0,7915.0,463.0,0.0,34134,42,No promotion,5-6 weeks,59.0,139,Independent,,5.5,1596,229,no,41-45,41-100,1.84346710923355,1.40669150207352,28924.0,8378.0,44387.0,11635.0,2.53368255585219,1.49504304593213,-335.23,238.26,False
EID029,NID029,2025-03-21T20:49:36.845Z,Rock,2025-02-07T00:00:00Z,1900,1531,53.0,89.0,141.0,118,6.0,12.0,2115.0,143.0,0.0,1246.0,36.0,0.0,0.0,619,14,Social Media,3-4 weeks,10.0,117,Independent,,3.5,42,7,no,14-16,11-15,1.24101894186806,1.19491525423729,1389.0,36.0,511.0,105.0,1.10477299185099,1.16269165247019,13.18,53.0,False
EID030,NID030,2025-03-21T20:51:21.290Z,EDM / Electronic,2019-03-12T00:00:00Z,60208,32868,274.0,894.0,15577.0,11024,70.0,232.0,22298516.0,7346.0,503.0,0.0,2129.0,101.0,0.0,34134,38,No promotion,5-6 weeks,59.0,139,Independent,,5.5,2201,315,no,36-40,31-40,1.83181209687234,1.41300798258345,7849.0,2230.0,52359.0,13347.0,1.95148712420512,1.4338330082967,48.97,690.54,False
